_id,hilo,topico,total_tweets,total_retweets,total_favoritos,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado
ObjectId("5d3257e36b361d2ed051ced8"),11,4,4,11274,48727,0,Joy,Joy+Surprise,1416356,1.3,true
ObjectId("5d3257e36b361d2ed051ced9"),22,10,5,68,145,1,Joy,Joy+Fear,19439,0.9,false
ObjectId("5d3257e36b361d2ed051ceda"),384,11,36,91718,324143,0,Sadness,Sadness+Joy,175462,1.1,true
ObjectId("5d3257e36b361d2ed051cedb"),236,4,16,2023,6024,0,Disgust,Disgust+Fear,12396,0.8,false
ObjectId("5d3257e36b361d2ed051cedc"),253,4,17,7330,16140,0,Surprise,Surprise+Anger,132590,1.1,false
ObjectId("5d3257e36b361d2ed051cedd"),8,7,4,75458,295627,0,Joy,Joy+Fear,2777455,1.8,true
ObjectId("5d3257e36b361d2ed051cede"),43,4,6,1070,1962,2,Surprise,Surprise+Joy,10663,0.9,false
ObjectId("5d3257e36b361d2ed051cedf"),2,4,3,30,49,0,Fear,Fear+Joy,35543,1.3,false
ObjectId("5d3257e36b361d2ed051cee0"),243,9,16,8018,26995,0,Joy,Joy+Fear,25751,1.1,true
ObjectId("5d3257e36b361d2ed051cee1"),188,0,13,923,1789,3,Fear,Fear+Joy,15113,0.8,false
ObjectId("5d3257e36b361d2ed051cee2"),333,4,25,5228,13425,0,Fear,Fear+Joy,125031,1.3,false
ObjectId("5d3257e36b361d2ed051cee3"),56,0,7,1829,2988,1,Joy,Joy+Fear,57034,1.1,true
ObjectId("5d3257e36b361d2ed051cee4"),374,7,32,326,559,0,Joy,Joy+Anger,62976,0.9,false
ObjectId("5d3257e36b361d2ed051cee5"),184,6,13,18573,99411,0,Fear,Fear+Joy,84490,0.8,false
ObjectId("5d3257e36b361d2ed051cee6"),84,4,8,95,107,23,Joy,Joy+Fear,11222,0.9,false
ObjectId("5d3257e36b361d2ed051cee7"),29,4,5,172,1136,0,Joy,Joy+Fear,74840,1.1,true
ObjectId("5d3257e36b361d2ed051cee8"),299,1,21,98,1400,1,Joy,Joy+Fear,635,0.7,false
ObjectId("5d3257e36b361d2ed051cee9"),347,4,26,28565,202280,0,Joy,Joy+Fear,420529,1.1,true
ObjectId("5d3257e36b361d2ed051ceea"),51,10,6,6389,24306,0,Joy,Joy+Fear,17888,1,true
ObjectId("5d3257e36b361d2ed051ceeb"),386,7,39,2795,7174,1,Fear,Fear+Joy,30502,0.9,false
ObjectId("5d3257e36b361d2ed051ceec"),96,10,9,8400,28517,0,Joy,Joy+Fear,2100,0.9,false
ObjectId("5d3257e36b361d2ed051ceed"),91,13,8,186,766,0,Fear,Fear+Surprise,138231,1.3,true
ObjectId("5d3257e36b361d2ed051ceee"),80,0,8,226,1559,1,Joy,Joy+Fear,23229,1.3,false
ObjectId("5d3257e36b361d2ed051ceef"),304,4,22,711,1094,7,Joy,Joy+Fear,179735,1,false
ObjectId("5d3257e36b361d2ed051cef0"),208,2,14,1315,1880,0,Fear,Fear+Disgust,9616,1.1,false
ObjectId("5d3257e36b361d2ed051cef1"),326,11,24,10500,35217,0,Joy,Joy+Fear,677357,2.3,true
ObjectId("5d3257e36b361d2ed051cef2"),203,5,14,243,188,1,Sadness,Sadness+Joy,67033,0.8,false
ObjectId("5d3257e36b361d2ed051cef3"),322,4,23,10595,25349,0,Disgust,Disgust+Fear,58433,1.4,false
ObjectId("5d3257e36b361d2ed051cef4"),274,2,19,7163,37452,0,Joy,Joy+Anger,8174,0.9,true
ObjectId("5d3257e36b361d2ed051cef5"),192,4,13,8058,23609,0,Disgust,Disgust+Joy,6666,1.2,false
ObjectId("5d3257e36b361d2ed051cef6"),278,4,19,45107,155746,1,Joy,Joy+Fear,273108,1.6,true
ObjectId("5d3257e36b361d2ed051cef7"),307,0,22,284,1192,0,Fear,Fear+Joy,2013,0.9,false
ObjectId("5d3257e36b361d2ed051cef8"),162,12,11,213,396,0,Fear,Fear+Joy,5261,0.8,false
ObjectId("5d3257e36b361d2ed051cef9"),352,2,26,34941,85517,0,Anger,Anger+Joy,50773,1.2,true
ObjectId("5d3257e36b361d2ed051cefa"),85,13,8,27356,51331,0,Joy,Joy+Fear,23732,1.1,true
ObjectId("5d3257e36b361d2ed051cefb"),68,4,7,3785,9100,0,Joy,Joy+Surprise,2799,0.8,true
ObjectId("5d3257e36b361d2ed051cefc"),259,4,17,733,1443,5,Joy,Joy+Fear,3732,0.9,false
ObjectId("5d3257e36b361d2ed051cefd"),87,4,8,93,322,2,Joy,Joy+Fear,7294,1.3,false
ObjectId("5d3257e36b361d2ed051cefe"),50,9,6,7691,37755,0,Anger,Anger+Sadness,193419,1.3,false
ObjectId("5d3257e36b361d2ed051ceff"),39,4,6,167,1358,0,Joy,Joy+Fear,23229,1.3,false
ObjectId("5d3257e36b361d2ed051cf00"),248,6,16,883,2462,1,Fear,Fear+Anger,12670,0.9,false
ObjectId("5d3257e36b361d2ed051cf01"),33,4,5,1492,2263,0,Joy,Joy+Fear,47786,1.3,false
ObjectId("5d3257e36b361d2ed051cf02"),300,13,21,23422,59143,0,Fear,Fear+Sadness,150327,1.4,true
ObjectId("5d3257e36b361d2ed051cf03"),69,4,7,734,969,7,Joy,Joy+Fear,54386,0.8,false
ObjectId("5d3257e36b361d2ed051cf04"),131,7,10,38,63,0,Joy,Joy+Fear,9904,0.9,false
ObjectId("5d3257e36b361d2ed051cf05"),190,4,13,570,1992,0,Anger,Anger+Joy,12189,1.3,false
ObjectId("5d3257e36b361d2ed051cf06"),125,4,10,8553,28806,0,Joy,Joy+Sadness,91238,1.2,true
ObjectId("5d3257e36b361d2ed051cf07"),293,7,21,853,946,0,Fear,Fear+Joy,10849,0.8,false
ObjectId("5d3257e36b361d2ed051cf08"),196,3,13,28140,71708,0,Joy,Joy+Fear,15054,0.9,false
ObjectId("5d3257e36b361d2ed051cf09"),238,1,16,75,313,0,Joy,Joy+Fear,2610,0.8,false
ObjectId("5d3257e36b361d2ed051cf0a"),231,13,15,10409,23344,0,Joy,Joy+Surprise,82796,1.3,true
ObjectId("5d3257e36b361d2ed051cf0b"),62,4,7,37130,163927,0,Joy,Joy+Fear,3098,0.9,false
ObjectId("5d3257e36b361d2ed051cf0c"),258,4,17,17632,50121,0,Surprise,Surprise+Joy,677357,2.3,true
ObjectId("5d3257e36b361d2ed051cf0d"),241,6,16,501,922,0,Joy,Joy+Anger,13744,0.8,false
ObjectId("5d3257e36b361d2ed051cf0e"),327,4,24,5187,55568,0,Fear,Fear+Joy,19509,1,true
ObjectId("5d3257e36b361d2ed051cf0f"),254,3,17,1616,8405,0,Joy,Joy+Sadness,51108,1,true
ObjectId("5d3257e36b361d2ed051cf10"),81,4,8,550,4229,1,Joy,Joy+Fear,348964,1.4,true
ObjectId("5d3257e36b361d2ed051cf11"),242,10,16,3201,3352,0,Joy,Joy+Fear,44509,2.3,false
ObjectId("5d3257e36b361d2ed051cf12"),14,3,4,10115,15287,0,Surprise,Surprise+Sadness,299289,1.2,true
ObjectId("5d3257e36b361d2ed051cf13"),225,4,15,275,2152,0,Joy,Joy+Fear,21952,1,true
ObjectId("5d3257e36b361d2ed051cf14"),31,2,5,16213,50084,0,Surprise,Surprise+Sadness,18143,1,true
ObjectId("5d3257e36b361d2ed051cf15"),296,4,21,1212,5223,1,Joy,Joy+Fear,121129,1.4,false
ObjectId("5d3257e36b361d2ed051cf16"),48,7,6,1151,3750,0,Fear,Fear+Joy,58433,1.4,false
ObjectId("5d3257e36b361d2ed051cf17"),110,4,9,323,2342,0,Joy,Joy+Disgust,13471,1.1,true
ObjectId("5d3257e36b361d2ed051cf18"),108,3,9,155,461,0,Joy,Joy+Fear,48624,1.1,true
ObjectId("5d3257e36b361d2ed051cf19"),361,12,28,3906,7128,0,Fear,Fear+Joy,31563,1,false
ObjectId("5d3257e36b361d2ed051cf1a"),226,11,15,12218,33782,0,Fear,Fear+Anger,677357,2.3,true
ObjectId("5d3257e36b361d2ed051cf1b"),345,10,26,47,167,2,Fear,Fear+Sadness,1352,0.8,false
ObjectId("5d3257e36b361d2ed051cf1c"),143,4,11,376,1694,0,Joy,Joy+Fear,12288,0.8,false
ObjectId("5d3257e36b361d2ed051cf1d"),209,9,14,4709,14903,0,Fear,Fear+Surprise,78135,1.6,false
ObjectId("5d3257e36b361d2ed051cf1e"),20,4,5,11,17,4,Fear,Fear+Surprise,1510,0.8,false
ObjectId("5d3257e36b361d2ed051cf1f"),99,2,9,4353,15543,0,Fear,Fear+Anger,30881,0.9,false
ObjectId("5d3257e36b361d2ed051cf20"),17,5,4,6374,11546,0,Joy,Joy+Surprise,59109,1.2,true
ObjectId("5d3257e36b361d2ed051cf21"),137,9,10,55335,257152,0,Sadness,Sadness+Surprise,336166,1.2,true
ObjectId("5d3257e36b361d2ed051cf22"),55,5,7,1461,2944,0,Joy,Joy+Fear,51265,1,false
ObjectId("5d3257e36b361d2ed051cf23"),164,8,12,70900,221823,0,Disgust,Disgust+Fear,767,0.9,false
ObjectId("5d3257e36b361d2ed051cf24"),283,3,20,8583,23016,0,Joy,Joy+Surprise,14681,1.4,false
ObjectId("5d3257e36b361d2ed051cf25"),75,12,8,3,41,0,Fear,Fear+Joy,3063,0.8,false
ObjectId("5d3257e36b361d2ed051cf26"),357,5,28,7273,18478,0,Joy,Joy+Fear,132590,1.1,false
ObjectId("5d3257e36b361d2ed051cf27"),356,7,27,10194,22172,0,Joy,Joy+Sadness,21969,1,true
ObjectId("5d3257e36b361d2ed051cf28"),219,4,15,7565,17532,0,Joy,Joy+Sadness,458000,1.3,true
ObjectId("5d3257e36b361d2ed051cf29"),318,7,23,15871,26542,2,Fear,Fear+Disgust,83575,1.2,false
ObjectId("5d3257e36b361d2ed051cf2a"),136,4,10,175,861,0,Joy,Joy+Fear,63171,1.3,false
ObjectId("5d3257e36b361d2ed051cf2b"),262,7,17,339,1543,0,Joy,Joy+Surprise,7426,1,false
ObjectId("5d3257e36b361d2ed051cf2c"),282,3,19,61238,527964,0,Joy,Joy+Fear,132430,1.5,true
ObjectId("5d3257e36b361d2ed051cf2d"),169,0,12,213,2087,1,Joy,Joy+Fear,23229,1.3,false
ObjectId("5d3257e36b361d2ed051cf2e"),105,11,9,20216,70559,0,Sadness,Sadness+Anger,132563,1.1,true
ObjectId("5d3257e36b361d2ed051cf2f"),174,4,12,86,318,0,Sadness,Sadness+Joy,21667,0.9,false
ObjectId("5d3257e36b361d2ed051cf30"),37,4,6,5529,15235,0,Joy,Joy+Anger,30881,0.9,false
ObjectId("5d3257e36b361d2ed051cf31"),95,7,9,5461,9419,0,Anger,Anger+Joy,31300,0.9,false
ObjectId("5d3257e36b361d2ed051cf32"),74,4,8,1011,3028,0,Joy,Joy+Fear,3296,0.8,false
ObjectId("5d3257e36b361d2ed051cf33"),287,4,20,2041,8990,0,Joy,Joy+Fear,7113,1.2,false
ObjectId("5d3257e36b361d2ed051cf34"),148,4,11,1656,16304,0,Joy,Joy+Fear,223142,1.2,true
ObjectId("5d3257e36b361d2ed051cf35"),61,7,7,8643,24133,0,Joy,Joy+Anger,18433,1,true
ObjectId("5d3257e36b361d2ed051cf36"),305,4,22,4191,21954,0,Joy,Joy+Fear,25448,1.1,false
ObjectId("5d3257e36b361d2ed051cf37"),244,10,16,13855,106323,1,Joy,Joy+Surprise,14659372,1.9,true
ObjectId("5d3257e36b361d2ed051cf38"),199,12,14,152,331,1,Fear,Fear+Joy,2367,0.8,false
ObjectId("5d3257e36b361d2ed051cf39"),312,5,22,16415,37115,0,Fear,Fear+Disgust,74485,1.2,true
ObjectId("5d3257e36b361d2ed051cf3a"),249,3,16,90,745,1,Anger,Anger+Joy,1654,0.8,false
ObjectId("5d3257e36b361d2ed051cf3b"),369,4,30,15182,31217,10,Joy,Joy+Fear,21757,1,false
ObjectId("5d3257e36b361d2ed051cf3c"),45,9,6,594,912,0,Fear,Fear+Joy,47786,1.3,false
ObjectId("5d3257e36b361d2ed051cf3d"),13,5,4,1603,1028,2,Joy,Joy+Surprise,18292,0.8,false
ObjectId("5d3257e36b361d2ed051cf3e"),265,0,18,334,2380,1,Joy,Joy+Fear,23229,1.3,false
ObjectId("5d3257e36b361d2ed051cf3f"),167,2,12,22646,63493,1,Joy,Joy+Fear,10262,1,false
ObjectId("5d3257e36b361d2ed051cf40"),245,9,16,3577,11834,0,Fear,Fear+Surprise,203698,1.3,true
ObjectId("5d3257e36b361d2ed051cf41"),237,7,16,802,4085,1,Fear,Fear+Joy,21952,1,true
ObjectId("5d3257e36b361d2ed051cf42"),288,8,20,1869,7475,0,Fear,Fear+Joy,16260,0.9,false
ObjectId("5d3257e36b361d2ed051cf43"),38,4,6,333,403,5,Joy,Joy+Anger,8234,0.8,false
ObjectId("5d3257e36b361d2ed051cf44"),194,9,13,6322,15054,1,Fear,Fear+Sadness,18540,1.4,false
ObjectId("5d3257e36b361d2ed051cf45"),88,7,8,90,152,0,Joy,Joy+Fear,77599,0.8,false
ObjectId("5d3257e36b361d2ed051cf46"),371,5,31,10199,23613,0,Joy,Joy+Surprise,15215,1.1,false
ObjectId("5d3257e36b361d2ed051cf47"),247,10,16,3011,4546,0,Sadness,Sadness+Joy,51265,1,false
ObjectId("5d3257e36b361d2ed051cf48"),279,4,19,1177,4990,0,Joy,Joy+Fear,17488,1,false
ObjectId("5d3257e36b361d2ed051cf49"),25,1,5,504,536,3,Fear,Fear+Joy,10365,0.8,true
ObjectId("5d3257e36b361d2ed051cf4a"),183,4,13,12786,37918,0,Joy,Joy+Fear,355178,1.4,true
ObjectId("5d3257e36b361d2ed051cf4b"),338,4,25,2688,8333,0,Surprise,Surprise+Joy,51265,1,false
ObjectId("5d3257e36b361d2ed051cf4c"),195,4,13,2939,10438,0,Fear,Fear+Joy,6679,0.8,true
ObjectId("5d3257e36b361d2ed051cf4d"),358,4,28,13118,36650,0,Joy,Joy+Fear,132590,1.1,false
ObjectId("5d3257e36b361d2ed051cf4e"),368,4,30,67225,382048,0,Fear,Fear+Joy,18122,1,true
ObjectId("5d3257e36b361d2ed051cf4f"),206,13,14,340,554,2,Fear,Fear+Anger,35489,1.3,false
ObjectId("5d3257e36b361d2ed051cf50"),212,6,14,324,1170,0,Fear,Fear+Sadness,15807,1.4,false
ObjectId("5d3257e36b361d2ed051cf51"),388,4,39,5784,21090,0,Sadness,Sadness+Surprise,41618,1,false
ObjectId("5d3257e36b361d2ed051cf52"),116,4,9,1023,3099,0,Fear,Fear+Anger,19202,1,false
ObjectId("5d3257e36b361d2ed051cf53"),216,7,14,5185,25930,0,Fear,Fear+Joy,11453,1,false
ObjectId("5d3257e36b361d2ed051cf54"),182,8,12,1567,3435,1,Fear,Fear+Surprise,15288,1.2,true
ObjectId("5d3257e36b361d2ed051cf55"),218,4,15,2460,7360,0,Joy,Joy+Fear,578806,1.4,true
ObjectId("5d3257e36b361d2ed051cf56"),267,4,18,30384,297183,0,Joy,Joy+Anger,223142,1.2,true
ObjectId("5d3257e36b361d2ed051cf57"),70,1,7,9463,23702,0,Joy,Joy+Fear,195935,1.3,true
ObjectId("5d3257e36b361d2ed051cf58"),181,5,12,890,1603,3,Joy,Joy+Surprise,132590,1.1,false
ObjectId("5d3257e36b361d2ed051cf59"),232,4,15,3804,12092,4,Joy,Joy+Fear,4387,0.8,false
ObjectId("5d3257e36b361d2ed051cf5a"),207,10,14,2482,2181,4,Fear,Fear+Joy,14503,1,false
ObjectId("5d3257e36b361d2ed051cf5b"),220,9,15,21083,68608,0,Joy,Joy+Fear,36112,1,true
ObjectId("5d3257e36b361d2ed051cf5c"),302,9,21,6801,17354,0,Joy,Joy+Fear,125031,1.3,false
