_id,hilo,posicion_hilo,id,emocion,puntaje_sigmoideo,total_rt,total_fav,total_hashtags,aporte_rt,aporte_fav,progreso_hilo
ObjectId("5d3257e36b361d2ed051cfea"),11,3,1144403681720373249,Joy,1.3,920,3843,0,0.082,0.079,100
ObjectId("5d3257e36b361d2ed051cfeb"),11,2,1144403680982130695,Fear,1.3,755,3487,0,0.067,0.072,67
ObjectId("5d3257e36b361d2ed051cfec"),11,1,1144399764198440960,Anger,1.3,1705,7705,0,0.151,0.158,34
ObjectId("5d3257e36b361d2ed051cfed"),11,0,1144399401722531842,Joy,1.3,7894,33692,0,0.7,0.691,1
ObjectId("5d3257e36b361d2ed051cfee"),22,4,1133680316705628161,Joy,0.9,19,36,0,0.275,0.247,100
ObjectId("5d3257e36b361d2ed051cfef"),22,3,1133680315334045696,Joy,0.9,13,31,0,0.188,0.212,75
ObjectId("5d3257e36b361d2ed051cff0"),22,2,1133680314054774785,Joy,0.9,0,7,1,0,0.048,50
ObjectId("5d3257e36b361d2ed051cff1"),22,1,1133680312687497216,Joy,0.9,0,7,0,0,0.048,26
ObjectId("5d3257e36b361d2ed051cff2"),22,0,1133680310313529344,Joy,0.9,36,64,0,0.522,0.438,1
ObjectId("5d3257e36b361d2ed051cff3"),384,35,1118924362869104640,Sadness,1.1,1702,8277,0,0.019,0.026,100
ObjectId("5d3257e36b361d2ed051cff4"),384,34,1118924030084567042,Joy,1.1,1598,6515,0,0.017,0.02,97
ObjectId("5d3257e36b361d2ed051cff5"),384,33,1118923822642626560,Disgust,1.1,2257,7838,0,0.025,0.024,94
ObjectId("5d3257e36b361d2ed051cff6"),384,32,1118923579083644929,Sadness,1.1,1471,6225,0,0.016,0.019,92
ObjectId("5d3257e36b361d2ed051cff7"),384,31,1118923398321778696,Joy,1.1,2501,9131,0,0.027,0.028,89
ObjectId("5d3257e36b361d2ed051cff8"),384,30,1118923185221771268,Fear,1.1,1866,7982,0,0.02,0.025,86
ObjectId("5d3257e36b361d2ed051cff9"),384,29,1118922923430109184,Joy,1.1,2457,9023,0,0.027,0.028,83
ObjectId("5d3257e36b361d2ed051cffa"),384,28,1118922652134014976,Joy,1.1,2200,8438,0,0.024,0.026,80
ObjectId("5d3257e36b361d2ed051cffb"),384,27,1118922376408961036,Sadness,1.1,2596,11414,0,0.028,0.035,77
ObjectId("5d3257e36b361d2ed051cffc"),384,26,1118922170560806912,Surprise,1.1,1322,6448,0,0.014,0.02,75
ObjectId("5d3257e36b361d2ed051cffd"),384,25,1118921957121110016,Joy,1.1,1966,7745,0,0.021,0.024,72
ObjectId("5d3257e36b361d2ed051cffe"),384,24,1118921728858763269,Joy,1.1,3043,11153,0,0.033,0.034,69
ObjectId("5d3257e36b361d2ed051cfff"),384,23,1118921473752752129,Joy,1.1,2528,8803,0,0.028,0.027,66
ObjectId("5d3257e36b361d2ed051d000"),384,22,1118921291610959874,Fear,1.1,2499,8487,0,0.027,0.026,63
ObjectId("5d3257e36b361d2ed051d001"),384,21,1118921136866242560,Fear,1.1,3320,9046,0,0.036,0.028,60
ObjectId("5d3257e36b361d2ed051d002"),384,20,1118920924701577221,Joy,1.1,1684,6806,0,0.018,0.021,58
ObjectId("5d3257e36b361d2ed051d003"),384,19,1118920727103778821,Fear,1.1,1460,6175,0,0.016,0.019,55
ObjectId("5d3257e36b361d2ed051d004"),384,18,1118920369853825025,Surprise,1.1,1308,5792,0,0.014,0.018,52
ObjectId("5d3257e36b361d2ed051d005"),384,17,1118920236261097477,Joy,1.1,1573,6359,0,0.017,0.02,49
ObjectId("5d3257e36b361d2ed051d006"),384,16,1118919931658145797,Disgust,1.1,1281,5628,0,0.014,0.017,46
ObjectId("5d3257e36b361d2ed051d007"),384,15,1118919774803759109,Joy,1.1,1303,5810,0,0.014,0.018,43
ObjectId("5d3257e36b361d2ed051d008"),384,14,1118919591076466689,Joy,1.1,1417,6340,0,0.015,0.02,41
ObjectId("5d3257e36b361d2ed051d009"),384,13,1118919443587973121,Joy,1.1,1108,5545,0,0.012,0.017,38
ObjectId("5d3257e36b361d2ed051d00a"),384,12,1118919265275514881,Joy,1.1,1528,6575,0,0.017,0.02,35
ObjectId("5d3257e36b361d2ed051d00b"),384,11,1118919060878766080,Joy,1.1,1207,6139,0,0.013,0.019,32
ObjectId("5d3257e36b361d2ed051d00c"),384,10,1118918877944188930,Joy,1.1,2004,7967,0,0.022,0.025,29
ObjectId("5d3257e36b361d2ed051d00d"),384,9,1118918676000931843,Fear,1.1,2455,8986,0,0.027,0.028,26
ObjectId("5d3257e36b361d2ed051d00e"),384,8,1118918527451312128,Joy,1.1,1576,6735,0,0.017,0.021,24
ObjectId("5d3257e36b361d2ed051d00f"),384,7,1118918291681107972,Disgust,1.1,1613,6824,0,0.018,0.021,21
ObjectId("5d3257e36b361d2ed051d010"),384,6,1118918046113042435,Joy,1.1,2574,9913,0,0.028,0.031,18
ObjectId("5d3257e36b361d2ed051d011"),384,5,1118917743678558208,Joy,1.1,2476,8356,0,0.027,0.026,15
ObjectId("5d3257e36b361d2ed051d012"),384,4,1118917585825935363,Joy,1.1,2770,9733,0,0.03,0.03,12
ObjectId("5d3257e36b361d2ed051d013"),384,3,1118917385128488965,Joy,1.1,1825,7918,0,0.02,0.024,9
ObjectId("5d3257e36b361d2ed051d014"),384,2,1118917214512529409,Surprise,1.1,1927,8485,0,0.021,0.026,7
ObjectId("5d3257e36b361d2ed051d015"),384,1,1118917000598892544,Fear,1.1,1772,8197,0,0.019,0.025,4
ObjectId("5d3257e36b361d2ed051d016"),384,0,1118916747887882242,Joy,1.1,23531,53335,0,0.257,0.165,1
ObjectId("5d3257e36b361d2ed051d017"),236,15,1089241505070546944,Disgust,0.8,134,430,0,0.066,0.071,100
ObjectId("5d3257e36b361d2ed051d018"),236,14,1089240903473119233,Fear,0.8,61,264,0,0.03,0.044,93
ObjectId("5d3257e36b361d2ed051d019"),236,13,1089240490300579841,Joy,0.8,40,180,0,0.02,0.03,87
ObjectId("5d3257e36b361d2ed051d01a"),236,12,1089240041208139778,Joy,0.8,97,307,0,0.048,0.051,80
ObjectId("5d3257e36b361d2ed051d01b"),236,11,1089239515229810688,Fear,0.8,92,346,0,0.045,0.057,74
ObjectId("5d3257e36b361d2ed051d01c"),236,10,1089239104229908480,Joy,0.8,64,276,0,0.032,0.046,67
ObjectId("5d3257e36b361d2ed051d01d"),236,9,1089238679946739713,Fear,0.8,141,444,0,0.07,0.074,60
ObjectId("5d3257e36b361d2ed051d01e"),236,8,1089238184633028610,Fear,0.8,103,338,0,0.051,0.056,54
ObjectId("5d3257e36b361d2ed051d01f"),236,7,1089237858601316352,Fear,0.8,143,491,0,0.071,0.081,47
ObjectId("5d3257e36b361d2ed051d020"),236,6,1089237289581137920,Joy,0.8,324,689,0,0.16,0.114,41
ObjectId("5d3257e36b361d2ed051d021"),236,5,1089236831714054145,Fear,0.8,117,370,0,0.058,0.061,34
ObjectId("5d3257e36b361d2ed051d022"),236,4,1089236397511327745,Fear,0.8,89,289,0,0.044,0.048,27
ObjectId("5d3257e36b361d2ed051d023"),236,3,1089235848095256576,Joy,0.8,71,256,0,0.035,0.042,21
ObjectId("5d3257e36b361d2ed051d024"),236,2,1089235008940883968,Fear,0.8,108,344,0,0.053,0.057,14
ObjectId("5d3257e36b361d2ed051d025"),236,1,1089234452558110720,Joy,0.8,108,359,0,0.053,0.06,8
ObjectId("5d3257e36b361d2ed051d026"),236,0,1089234000827334656,Fear,0.8,331,641,0,0.164,0.106,1
ObjectId("5d3257e36b361d2ed051d027"),253,16,1096233752253161472,Surprise,1.1,179,727,0,0.024,0.045,100
ObjectId("5d3257e36b361d2ed051d028"),253,15,1096233098029748224,Surprise,1.1,175,608,0,0.024,0.038,94
ObjectId("5d3257e36b361d2ed051d029"),253,14,1096232804524937217,Fear,1.1,240,590,0,0.033,0.037,88
ObjectId("5d3257e36b361d2ed051d02a"),253,13,1096228858121076736,Sadness,1.1,335,878,0,0.046,0.054,81
ObjectId("5d3257e36b361d2ed051d02b"),253,12,1096228535121920000,Joy,1.1,434,938,0,0.059,0.058,75
ObjectId("5d3257e36b361d2ed051d02c"),253,11,1096228165725360128,Fear,1.1,230,578,0,0.031,0.036,69
ObjectId("5d3257e36b361d2ed051d02d"),253,10,1096227916906721281,Joy,1.1,411,882,0,0.056,0.055,63
ObjectId("5d3257e36b361d2ed051d02e"),253,9,1096227377028481024,Fear,1.1,234,544,0,0.032,0.034,57
ObjectId("5d3257e36b361d2ed051d02f"),253,8,1096226756288266240,Surprise,1.1,277,614,0,0.038,0.038,50
ObjectId("5d3257e36b361d2ed051d030"),253,7,1096226178841694208,Anger,1.1,253,596,0,0.035,0.037,44
ObjectId("5d3257e36b361d2ed051d031"),253,6,1096225749277773824,Joy,1.1,216,569,0,0.029,0.035,38
ObjectId("5d3257e36b361d2ed051d032"),253,5,1096225311014965248,Fear,1.1,266,611,0,0.036,0.038,32
ObjectId("5d3257e36b361d2ed051d033"),253,4,1096224364196962304,Fear,1.1,447,859,0,0.061,0.053,26
ObjectId("5d3257e36b361d2ed051d034"),253,3,1096224041743106048,Joy,1.1,235,619,0,0.032,0.038,20
ObjectId("5d3257e36b361d2ed051d035"),253,2,1096222805526564864,Joy,1.1,496,878,0,0.068,0.054,13
ObjectId("5d3257e36b361d2ed051d036"),253,1,1096222050006589440,Surprise,1.1,472,961,0,0.064,0.06,7
ObjectId("5d3257e36b361d2ed051d037"),253,0,1096220718168195072,Surprise,1.1,2430,4688,0,0.331,0.29,1
ObjectId("5d3257e36b361d2ed051d038"),8,3,1119331296470237185,Joy,1.8,30566,106763,0,0.405,0.361,100
ObjectId("5d3257e36b361d2ed051d039"),8,2,1119331295547596800,Joy,1.8,10984,50697,0,0.146,0.171,67
ObjectId("5d3257e36b361d2ed051d03a"),8,1,1119331294486368264,Fear,1.8,8310,38779,0,0.11,0.131,34
ObjectId("5d3257e36b361d2ed051d03b"),8,0,1119331293467152384,Joy,1.8,25598,99388,0,0.339,0.336,1
ObjectId("5d3257e36b361d2ed051d03c"),43,5,1078554754656088064,Surprise,0.9,145,263,2,0.135,0.134,100
ObjectId("5d3257e36b361d2ed051d03d"),43,4,1078554753389318145,Fear,0.9,47,103,1,0.044,0.052,80
ObjectId("5d3257e36b361d2ed051d03e"),43,3,1078554751430610944,Joy,0.9,107,216,1,0.1,0.11,60
ObjectId("5d3257e36b361d2ed051d03f"),43,2,1078554749706727424,Surprise,0.9,140,257,1,0.131,0.131,41
ObjectId("5d3257e36b361d2ed051d040"),43,1,1078554748024872961,Fear,0.9,116,209,1,0.108,0.106,21
ObjectId("5d3257e36b361d2ed051d041"),43,0,1078554746741391360,Fear,0.9,515,914,1,0.481,0.466,1
ObjectId("5d3257e36b361d2ed051d042"),2,2,1143605500745064448,Fear,1.3,7,17,0,0.226,0.34,100
ObjectId("5d3257e36b361d2ed051d043"),2,1,1143605262940549121,Joy,1.3,5,13,0,0.161,0.26,50
ObjectId("5d3257e36b361d2ed051d044"),2,0,1143604910212206593,Disgust,1.3,18,19,0,0.581,0.38,1
ObjectId("5d3257e36b361d2ed051d045"),243,15,1143984072957370368,Joy,1.1,1055,3850,0,0.132,0.143,100
ObjectId("5d3257e36b361d2ed051d046"),243,14,1143983975817310208,Surprise,1.1,191,886,0,0.024,0.033,93
ObjectId("5d3257e36b361d2ed051d047"),243,13,1143983866773774336,Joy,1.1,216,941,0,0.027,0.035,87
ObjectId("5d3257e36b361d2ed051d048"),243,12,1143983792001966080,Fear,1.1,359,1227,0,0.045,0.045,80
ObjectId("5d3257e36b361d2ed051d049"),243,11,1143983660602810368,Fear,1.1,374,1414,0,0.047,0.052,74
ObjectId("5d3257e36b361d2ed051d04a"),243,10,1143983593837907969,Disgust,1.1,320,1261,0,0.04,0.047,67
ObjectId("5d3257e36b361d2ed051d04b"),243,9,1143983535704793088,Fear,1.1,248,1137,0,0.031,0.042,60
ObjectId("5d3257e36b361d2ed051d04c"),243,8,1143983451839717376,Joy,1.1,400,1344,0,0.05,0.05,54
ObjectId("5d3257e36b361d2ed051d04d"),243,7,1143983344331345920,Joy,1.1,219,918,0,0.027,0.034,47
ObjectId("5d3257e36b361d2ed051d04e"),243,6,1143983261074333696,Joy,1.1,290,1127,0,0.036,0.042,41
ObjectId("5d3257e36b361d2ed051d04f"),243,5,1143983044425994240,Fear,1.1,377,1281,0,0.047,0.047,34
ObjectId("5d3257e36b361d2ed051d050"),243,4,1143982998284406784,Joy,1.1,405,1359,0,0.051,0.05,27
ObjectId("5d3257e36b361d2ed051d051"),243,3,1143982886409781249,Fear,1.1,448,1297,0,0.056,0.048,21
ObjectId("5d3257e36b361d2ed051d052"),243,2,1143982649582616576,Fear,1.1,479,1410,0,0.06,0.052,14
ObjectId("5d3257e36b361d2ed051d053"),243,1,1143982610432970754,Joy,1.1,482,1382,0,0.06,0.051,8
ObjectId("5d3257e36b361d2ed051d054"),243,0,1143982551226183680,Joy,1.1,2155,6161,0,0.269,0.228,1
ObjectId("5d3257e36b361d2ed051d055"),188,12,1035222754126114817,Fear,0.8,88,171,2,0.095,0.096,100
ObjectId("5d3257e36b361d2ed051d056"),188,11,1035222537733644289,Surprise,0.8,45,86,1,0.049,0.048,92
ObjectId("5d3257e36b361d2ed051d057"),188,10,1035222362667528195,Disgust,0.8,30,72,0,0.032,0.04,84
ObjectId("5d3257e36b361d2ed051d058"),188,9,1035222252214792192,Joy,0.8,46,121,1,0.05,0.068,75
ObjectId("5d3257e36b361d2ed051d059"),188,8,1035222145293594626,Joy,0.8,70,163,0,0.076,0.091,67
ObjectId("5d3257e36b361d2ed051d05a"),188,7,1035222028788408321,Sadness,0.8,103,179,0,0.111,0.1,59
ObjectId("5d3257e36b361d2ed051d05b"),188,6,1035221931899998209,Joy,0.8,36,97,0,0.039,0.054,50
