promedio_rt	promedio_fv	hilo	Linear Regression	Fold
continuous	continuous	continuous	continuous	discrete
	class	meta	meta	meta
64.0	70.0	23.0	225.10252024009512	1
564.0	1206.0	36.0	1718.2391485670319	1
148.0	639.0	83.0	475.9494737990205	1
558.0	1320.0	173.0	1700.3215090271085	1
1657.0	5520.0	221.0	4982.235818089715	1
124.0	241.0	376.0	404.2789156393275	1
2291.0	6962.0	32.0	6623.0217938699025	2
3337.0	14824.0	76.0	9655.411985557974	2
5.0	137.0	157.0	-4.171301922570727	2
1704.0	6098.0	186.0	4921.288483620479	2
95.0	343.0	324.0	256.741812085007	2
2.0	20.0	340.0	-12.868405722823317	2
25.0	171.0	34.0	134.86283850121413	3
1179.0	1754.0	40.0	3589.538560634757	3
26.0	91.0	49.0	137.856491639978	3
93.0	516.0	98.0	338.43125193715946	3
379.0	585.0	156.0	1194.6160496236353	3
20.0	27.0	315.0	119.89457280739461	3
641.0	1441.0	120.0	1967.6000833541696	4
284.0	577.0	246.0	900.6858066065073	4
18.0	37.0	260.0	105.73007099060217	4
46.0	158.0	273.0	189.4096221080659	4
330.0	1107.0	341.0	1038.159354870912	4
738.0	1489.0	360.0	2257.48995686824	4
26.0	14.0	54.0	102.9228332672732	5
3696.0	11756.0	89.0	11012.341253620869	5
151.0	437.0	92.0	474.49703014580166	5
4309.0	13007.0	141.0	12834.541115113172	5
32.0	137.0	217.0	120.75839471744257	5
97.0	172.0	365.0	313.97697709427734	5
242.0	755.0	72.0	764.6790823886298	6
978.0	2068.0	154.0	2820.5501737417585	6
467.0	1911.0	214.0	1393.172282870225	6
5435.0	21824.0	342.0	15270.302149503845	6
16.0	144.0	343.0	133.3925787937832	6
31.0	78.0	354.0	175.29212549255618	6
9114.0	23578.0	24.0	30581.178632844472	7
40.0	34.0	27.0	-104.545713554645	7
1364.0	5246.0	127.0	4372.851138399557	7
80.0	294.0	170.0	30.72307351345779	7
130.0	648.0	277.0	199.8090573485863	7
27.0	39.0	317.0	-148.50806935177843	7
343.0	754.0	65.0	1043.6113609721212	8
3164.0	7530.0	135.0	9577.72155968372	8
504.0	3329.0	230.0	1530.669759409756	8
238.0	365.0	272.0	725.9645793823596	8
0.0	5.0	332.0	5.965207778899639	8
24.0	32.0	42.0	100.5116904401543	9
33.0	161.0	102.0	127.45580035967023	9
16.0	157.0	121.0	76.5613705116957	9
12.0	43.0	130.0	64.5862105474664	9
1313.0	3345.0	390.0	3959.506988913047	9
2668.0	4923.0	86.0	8146.195565736756	10
1167.0	2977.0	168.0	3597.3156801166574	10
283.0	992.0	263.0	918.2951478793702	10
591.0	1372.0	280.0	1851.7095414643072	10
134.0	425.0	351.0	466.7407821515922	10
