total_retweets	total_favoritos	hilo	Linear Regression	Fold
continuous	continuous	continuous	continuous	discrete
	class	meta	meta	meta
321.0	348.0	23.0	-4165.405344857492	1
3382.0	7239.0	36.0	6964.54138078663	1
1185.0	5110.0	83.0	-1023.8588009318073	1
6693.0	15836.0	173.0	19003.500416594434	1
24855.0	82796.0	221.0	85041.4267253656	1
4101.0	7948.0	376.0	9578.86078481738	1
11454.0	34811.0	32.0	35460.08817553261	2
26698.0	118591.0	76.0	90628.64427735194	2
56.0	1509.0	157.0	-5789.662706685751	2
22157.0	79276.0	186.0	74194.61034542059	2
2291.0	8221.0	324.0	2298.878548074561	2
51.0	493.0	340.0	-5807.757877278056	2
123.0	856.0	34.0	-5015.95454520421	3
7076.0	10524.0	40.0	20283.030194272644	3
154.0	544.0	49.0	-4903.158841633985	3
833.0	4640.0	98.0	-2432.5690763377406	3
4166.0	6435.0	156.0	9694.788343003027	3
459.0	628.0	315.0	-3793.394661346276	3
5770.0	12967.0	120.0	16058.6549918093	4
4550.0	9238.0	246.0	11610.987840021022	4
308.0	627.0	260.0	-3853.769584475608	4
876.0	3001.0	273.0	-1783.052418724999	4
8254.0	27677.0	341.0	25114.396963155275	4
20661.0	41698.0	360.0	70345.71364531692	4
155.0	87.0	54.0	-4841.508456736184	5
29572.0	94052.0	89.0	103504.97240254056	5
1210.0	3499.0	92.0	-955.8118423112937	5
47395.0	143072.0	141.0	169149.30487542663	5
443.0	1918.0	217.0	-3780.7685278694835	5
2818.0	4979.0	365.0	4966.652760527779	5
1693.0	5282.0	72.0	5455.972077521619	6
10757.0	22748.0	154.0	31006.915782638807	6
6533.0	26756.0	214.0	19099.679881224973	6
135887.0	545596.0	342.0	383741.86567466374	6
389.0	3597.0	343.0	1780.0640246230296	6
844.0	2117.0	354.0	3062.6853160868777	6
45568.0	117888.0	24.0	162977.59056902517	7
199.0	172.0	27.0	-5015.7205311194175	7
13635.0	52458.0	127.0	44735.389873375774	7
956.0	3532.0	170.0	-2212.6846144624615	7
2468.0	12310.0	277.0	3385.981575742713	7
610.0	895.0	317.0	-3493.860872273963	7
2403.0	5278.0	65.0	3286.082562536896	8
31638.0	75299.0	135.0	110478.43983513291	8
7555.0	49933.0	230.0	22176.283508950943	8
4519.0	6939.0	272.0	11044.557951242667	8
2.0	131.0	332.0	-5517.367063305522	8
144.0	194.0	42.0	-5271.252613783428	9
296.0	1452.0	102.0	-4702.308265928551	9
146.0	1415.0	121.0	-5263.766503943232	9
125.0	428.0	130.0	-5342.370657265287	9
53838.0	137137.0	390.0	195708.3382659519	9
21340.0	39383.0	86.0	73315.04505758078	10
14001.0	35724.0	168.0	46533.46950511429	10
4804.0	16870.0	263.0	12971.655858018748	10
11224.0	26070.0	280.0	36399.604495004	10
3486.0	11057.0	351.0	8161.992882388442	10
