_id,hilo,fecha,topico,total_tweets,total_retweets,total_favoritos,total_hashtags,promedio_retweets,promedio_favoritos,emocion_hilo_1,tupla_emocion_hilo,usuario,user_total_followers,user_total_friends,user_total_status,user_puntaje_sigmo,user_verificado
ObjectId("5d257ef46b361d2564f95711"),0,""2019-06-28T14:59:15.000Z"",11,3,31955,95985,0,10652,31995,Anger,Anger+Surprise,21307076,61746,1335,21682,1.16113,true
ObjectId("5d257ef46b361d2564f95712"),1,""2019-06-28T04:39:25.000Z"",3,3,17739,39908,2,5913,13303,Joy,Joy+Fear,2316383071,393734,3768,82208,1.22267,false
ObjectId("5d257ef46b361d2564f95713"),2,""2019-06-25T19:42:53.000Z"",4,3,30,49,0,10,16,Fear,Fear+Joy,24212955,35543,387,172177,1.26804,false
ObjectId("5d257ef46b361d2564f95714"),3,""2019-06-28T22:02:53.000Z"",4,3,166,557,0,55,186,Sadness,Sadness+Surprise,2314464974,73354,9845,41886,0.9744,true
ObjectId("5d257ef46b361d2564f95715"),4,""2018-12-10T21:53:41.000Z"",4,3,6267,15007,0,2089,5002,Joy,Joy+Surprise,39155029,263169,4101,33991,1.17499,true
ObjectId("5d257ef46b361d2564f95716"),5,""2018-11-26T18:47:32.000Z"",3,4,51,49,1,13,12,Fear,Fear+Disgust,1936999562,6558,586,18720,1.01279,false
ObjectId("5d257ef46b361d2564f95717"),6,""2018-01-01T15:01:25.000Z"",7,4,12068,21292,2,3017,5323,Fear,Fear+Sadness,22434517,74244,437,20555,1.33755,true
ObjectId("5d257ef46b361d2564f95718"),7,""2019-05-25T12:53:20.000Z"",6,4,13544,39484,2,3386,9871,Joy,Joy+Fear,66369181,5839979,493,25764,1.83187,true
ObjectId("5d257ef46b361d2564f95719"),8,""2019-04-19T20:05:51.000Z"",7,4,75458,295627,0,18864,73907,Joy,Joy+Fear,357606935,2777455,338,4860,1.82529,true
ObjectId("5d257ef46b361d2564f9571a"),9,""2018-07-25T16:11:21.000Z"",13,4,226,231,0,56,58,Surprise,Surprise+Fear,25320639,126821,40709,40134,0.90971,false
ObjectId("5d257ef46b361d2564f9571b"),10,""2019-02-13T11:45:46.000Z"",13,4,1489,1562,2,372,390,Joy,Joy+Fear,56961858,57367,41,11973,1.81404,true
ObjectId("5d257ef46b361d2564f9571c"),11,""2019-06-28T00:34:34.000Z"",4,4,11274,48727,0,2818,12182,Joy,Joy+Surprise,49698134,1416356,5694,148042,1.29349,true
ObjectId("5d257ef46b361d2564f9571d"),12,""2018-12-25T17:32:30.000Z"",4,4,9289,43693,0,2322,10923,Fear,Fear+Joy,877743452364165121,4761,1650,16158,0.87198,false
ObjectId("5d257ef46b361d2564f9571e"),13,""2018-11-25T23:03:13.000Z"",5,4,1603,1028,2,401,257,Joy,Joy+Surprise,764574111842598912,18292,17465,167317,0.81307,false
ObjectId("5d257ef46b361d2564f9571f"),14,""2018-03-20T20:52:52.000Z"",3,4,10115,15287,0,2529,3822,Surprise,Surprise+Sadness,722242009,299289,2993,9259,1.22337,true
ObjectId("5d257ef46b361d2564f95720"),15,""2018-07-14T15:15:37.000Z"",9,4,135,194,0,34,48,Fear,Fear+Surprise,25320639,126821,40709,40134,0.90971,false
ObjectId("5d257ef46b361d2564f95721"),16,""2019-02-20T11:46:40.000Z"",12,4,865,1488,1,216,372,Sadness,Sadness+Joy,1050459109202518016,34625,2158,1932,1.04733,false
ObjectId("5d257ef46b361d2564f95722"),17,""2018-12-27T21:03:37.000Z"",5,4,6374,11546,0,1594,2886,Joy,Joy+Surprise,14362404,59109,1090,32461,1.18174,true
ObjectId("5d257ef46b361d2564f95723"),18,""2018-07-16T19:57:31.000Z"",12,4,1038,1269,0,260,317,Joy,Joy+Fear,25320639,126821,40709,40134,0.90971,false
ObjectId("5d257ef46b361d2564f95724"),19,""2019-06-24T20:16:49.000Z"",7,5,674,708,3,135,142,Joy,Joy+Anger,57596040,10365,5982,4357,0.84063,true
ObjectId("5d257ef46b361d2564f95725"),20,""2018-03-23T20:24:18.000Z"",4,5,11,17,4,2,3,Fear,Fear+Surprise,258617217,1510,1578,4933,0.75726,false
ObjectId("5d257ef46b361d2564f95726"),21,""2019-05-03T22:50:05.000Z"",10,5,6500,8592,0,1300,1718,Fear,Fear+Joy,22009023,15067,975,106333,1.04728,false
ObjectId("5d257ef46b361d2564f95727"),22,""2019-05-29T10:23:44.000Z"",10,5,68,145,1,14,29,Joy,Joy+Fear,1935629324,19439,7648,49233,0.87818,false
ObjectId("5d257ef46b361d2564f95728"),23,""2019-02-04T15:38:36.000Z"",2,5,321,348,4,64,70,Fear,Fear+Joy,785549741421568001,44388,47860,30770,0.81818,false
ObjectId("5d257ef46b361d2564f95729"),24,""2018-12-09T07:26:39.000Z"",2,5,45568,117888,0,9114,23578,Joy,Joy+Anger,2241314820,1914,902,93778,0.82973,false
ObjectId("5d257ef46b361d2564f9572a"),25,""2019-06-18T16:09:03.000Z"",1,5,504,536,3,101,107,Fear,Fear+Joy,57596040,10365,5982,4357,0.84063,true
ObjectId("5d257ef46b361d2564f9572b"),26,""2019-02-18T01:58:25.000Z"",9,5,218,366,3,44,73,Fear,Fear+Joy,849835616,6863,3032,27454,0.85602,false
ObjectId("5d257ef46b361d2564f9572c"),27,""2019-04-13T18:05:12.000Z"",10,5,199,172,0,40,34,Joy,Joy+Fear,47035436,4594,2109,64930,0.84691,false
ObjectId("5d257ef46b361d2564f9572d"),28,""2018-12-24T22:27:24.000Z"",7,5,4175,7653,0,835,1531,Joy,Joy+Fear,22129280,304637,773,28022,1.41017,true
ObjectId("5d257ef46b361d2564f9572e"),29,""2019-06-25T16:43:51.000Z"",4,5,172,1136,0,34,227,Joy,Joy+Fear,28917111,74840,1792,11173,1.14589,true
ObjectId("5d257ef46b361d2564f9572f"),30,""2018-03-23T23:44:32.000Z"",12,5,97,169,0,19,34,Fear,Fear+Joy,562255311,55602,3739,98501,1.03766,false
ObjectId("5d257ef46b361d2564f95730"),31,""2019-03-28T15:59:17.000Z"",2,5,16213,50084,0,3243,10017,Surprise,Surprise+Sadness,25605494,18143,2096,923,0.98545,true
ObjectId("5d257ef46b361d2564f95731"),32,""2019-05-07T04:24:16.000Z"",4,5,11454,34811,0,2291,6962,Anger,Anger+Joy,817460680748044288,27485,2657,22394,1.00329,false
ObjectId("5d257ef46b361d2564f95732"),33,""2019-02-28T15:50:58.000Z"",4,5,1492,2263,0,298,453,Joy,Joy+Fear,809974521746911232,47786,326,27101,1.33141,false
ObjectId("5d257ef46b361d2564f95733"),34,""2019-05-03T17:52:18.000Z"",1,5,123,856,1,25,171,Joy,Joy+Fear,854483338530349056,23229,300,9686,1.25513,false
ObjectId("5d257ef46b361d2564f95734"),35,""2018-11-29T20:12:34.000Z"",4,6,37,193,0,6,32,Anger,Anger+Sadness,197901148,57688,3996,77245,1.03463,false
ObjectId("5d257ef46b361d2564f95735"),36,""2018-05-27T21:31:31.000Z"",4,6,3382,7239,0,564,1206,Sadness,Sadness+Joy,225265639,578806,1192,94494,1.41355,true
ObjectId("5d257ef46b361d2564f95736"),37,""2018-06-10T16:30:09.000Z"",4,6,5529,15235,0,922,2539,Joy,Joy+Anger,14542977,30881,5736,11581,0.94348,false
ObjectId("5d257ef46b361d2564f95737"),38,""2019-02-26T20:00:28.000Z"",4,6,333,403,5,56,67,Joy,Joy+Anger,235224358,8234,9007,114765,0.7903,false
ObjectId("5d257ef46b361d2564f95738"),39,""2019-03-08T15:57:42.000Z"",4,6,167,1358,0,28,226,Joy,Joy+Fear,854483338530349056,23229,300,9686,1.25513,false
ObjectId("5d257ef46b361d2564f95739"),40,""2018-05-31T15:49:57.000Z"",4,6,7076,10524,1,1179,1754,Joy,Joy+Surprise,24822993,125031,983,36604,1.27649,false
ObjectId("5d257ef46b361d2564f9573a"),41,""2019-05-31T00:52:37.000Z"",3,6,150,531,0,25,88,Joy,Joy+Fear,1032936199340486656,15544,1088,4683,1.03829,false
ObjectId("5d257ef46b361d2564f9573b"),42,""2018-08-15T05:21:25.000Z"",4,6,144,194,0,24,32,Joy,Joy+Fear,5404442,45755,6692,158153,0.96577,true
