_id,hilo,posicion_hilo,fecha,id,user_id,emocion,puntaje_sigmoideo,total_rt,total_fav,total_hashtags,aporte_rt,aporte_fav,progreso_hilo
ObjectId("5d257ef46b361d2564f95899"),0,2,""2019-06-28T14:59:15.000Z"",1144621287333081089,21307076,Anger,1.16113,5776,18463,0,0.181,0.192,100
ObjectId("5d257ef46b361d2564f9589a"),0,1,""2019-06-28T14:39:59.000Z"",1144616439908896768,21307076,Joy,1.16113,3750,14916,0,0.117,0.155,50
ObjectId("5d257ef46b361d2564f9589b"),0,0,""2019-06-28T14:36:44.000Z"",1144615620845219841,21307076,Joy,1.16113,22429,62606,0,0.702,0.652,1
ObjectId("5d257ef46b361d2564f9589c"),1,2,""2019-06-28T04:39:25.000Z"",1144465300475138048,2316383071,Joy,1.22267,2446,5579,1,0.138,0.14,100
ObjectId("5d257ef46b361d2564f9589d"),1,1,""2019-06-28T04:31:49.000Z"",1144463388363202560,2316383071,Fear,1.22267,1805,4683,1,0.102,0.117,50
ObjectId("5d257ef46b361d2564f9589e"),1,0,""2019-06-28T03:43:57.000Z"",1144451342238408704,2316383071,Joy,1.22267,13488,29646,1,0.76,0.743,1
ObjectId("5d257ef46b361d2564f9589f"),2,2,""2019-06-25T19:42:53.000Z"",1143605500745064448,24212955,Fear,1.26804,7,17,0,0.226,0.34,100
ObjectId("5d257ef46b361d2564f958a0"),2,1,""2019-06-25T19:41:56.000Z"",1143605262940549121,24212955,Joy,1.26804,5,13,0,0.161,0.26,50
ObjectId("5d257ef46b361d2564f958a1"),2,0,""2019-06-25T19:40:32.000Z"",1143604910212206593,24212955,Disgust,1.26804,18,19,0,0.581,0.38,1
ObjectId("5d257ef46b361d2564f958a2"),3,2,""2019-06-28T22:02:53.000Z"",1144727898122805249,2314464974,Sadness,0.9744,19,73,0,0.114,0.131,100
ObjectId("5d257ef46b361d2564f958a3"),3,1,""2019-06-28T21:57:02.000Z"",1144726425251045376,2314464974,Fear,0.9744,16,52,0,0.096,0.093,50
ObjectId("5d257ef46b361d2564f958a4"),3,0,""2019-06-28T21:54:54.000Z"",1144725888011001856,2314464974,Joy,0.9744,131,432,0,0.784,0.774,1
ObjectId("5d257ef46b361d2564f958a5"),4,2,""2018-12-10T21:53:41.000Z"",1072248011076571141,39155029,Joy,1.17499,740,2048,0,0.118,0.136,100
ObjectId("5d257ef46b361d2564f958a6"),4,1,""2018-12-10T21:40:55.000Z"",1072244797753212931,39155029,Joy,1.17499,1027,2773,0,0.164,0.185,50
