_id,hilo,topico,total_tweets,total_retweets,total_favoritos,promedio_rt,promedio_fv,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado,log_prt,log_pfv,log_total_retweets,log_total_favoritos,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a6786b361d34247c0d39"),11,4,4,11274,48727,2818,12182,0,Joy,Joy+Surprise,1416356,1.29349,true,3.4500950758716025,4.085754244209699,4.052116550549998,4.687778586493365,1.3,6.151172733289267
ObjectId("5d34a6786b361d34247c0d3a"),22,10,5,68,145,14,29,1,Joy,Joy+Fear,19439,0.87818,false,1.1760912590556813,1.4771212547196624,1.8388490907372552,2.164352855784437,0.9,4.288696260590256
ObjectId("5d34a6786b361d34247c0d3b"),384,11,36,91718,324143,2548,9004,0,Sadness,Sadness+Joy,175462,1.14875,true,3.4063698354692673,3.954483717155552,4.962459311029015,5.510737987095769,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0d3c"),236,4,16,2023,6024,126,376,0,Disgust,Disgust+Fear,12396,0.8396,false,2.103803720955957,2.576341350205793,3.3062105081677613,3.779957051246906,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0d3d"),253,4,17,7330,16140,431,949,0,Surprise,Surprise+Anger,132590,1.06386,false,2.635483746814912,2.9777236052888476,3.865163219506086,4.207930437512971,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0d3e"),8,7,4,75458,295627,18864,73907,0,Joy,Joy+Fear,2777455,1.82529,true,4.275656809537014,4.868691450137879,4.877711045532886,5.470745565276254,1.8,6.4436471876458254
ObjectId("5d34a6786b361d34247c0d3f"),43,4,6,1070,1962,178,327,2,Surprise,Surprise+Joy,10663,0.88049,false,2.2528530309798933,2.515873843711679,3.029789470831856,3.292920299600006,0.9,4.027920136405803
ObjectId("5d34a6786b361d34247c0d40"),2,4,3,30,49,10,16,0,Fear,Fear+Joy,35543,1.26804,false,1.0413926851582251,1.2304489213782739,1.4913616938342726,1.6989700043360187,1.3,4.550766300232815
ObjectId("5d34a6786b361d34247c0d41"),243,9,16,8018,26995,501,1687,0,Joy,Joy+Fear,25751,1.10977,true,2.7007037171450192,3.2273724422896364,3.9041202134761996,4.431299419469352,1.1,4.410810963677557
ObjectId("5d34a6786b361d34247c0d42"),188,0,13,923,1789,71,138,3,Fear,Fear+Joy,15113,0.83639,false,1.8573324964312685,2.143014800254095,2.9656719712201065,3.2528530309798933,0.8,4.179379417881757
