_id,hilo,topico,total_tweets,total_retweets,total_favoritos,promedio_rt,promedio_fv,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado,log_prt,log_pfv,log_total_retweets,log_total_favoritos,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a67a6b361d34247c1e41"),4,4,3,6267,15007,2089,5002,0,Joy,Joy+Surprise,263169,1.17499,true,3.3201462861110542,3.699230502883409,3.7971289877965524,4.176322821034989,1.2,5.420236380469888
ObjectId("5d34a67a6b361d34247c1e42"),5,3,4,51,49,13,12,1,Fear,Fear+Disgust,6558,1.01279,false,1.146128035678238,1.1139433523068367,1.7160033436347992,1.6989700043360187,1,3.816837630902035
ObjectId("5d34a67a6b361d34247c1e43"),6,7,4,12068,21292,3017,5323,2,Fear,Fear+Sadness,74244,1.33755,true,3.479719235439571,3.7262380468026377,4.0816712872909235,4.328236854094916,1.3,4.870667211584855
ObjectId("5d34a67a6b361d34247c1e44"),10,13,4,1489,1562,372,390,2,Joy,Joy+Fear,57367,1.81404,true,2.571708831808688,2.5921767573958667,3.173186268412274,3.193958978019187,1.8,4.758669709493661
ObjectId("5d34a67a6b361d34247c1e45"),21,10,5,6500,8592,1300,1718,0,Fear,Fear+Joy,15067,1.04728,false,3.1142772965615864,3.2352758766870524,3.8129801660394804,3.934144811792477,1,4.17805561153123
ObjectId("5d34a67a6b361d34247c1e46"),23,2,5,321,348,64,70,4,Fear,Fear+Joy,44388,0.81818,false,1.8129133566428555,1.8512583487190752,2.507855871695831,2.5428254269591797,0.8,4.6472753613043984
ObjectId("5d34a67a6b361d34247c1e47"),24,2,5,45568,117888,9114,23578,0,Joy,Joy+Anger,1914,0.82973,false,3.959756672990995,4.372525382451559,4.6586694982061685,5.071473283787442,0.8,3.2821687783046416
ObjectId("5d34a67a6b361d34247c1e48"),27,10,5,199,172,40,34,0,Joy,Joy+Fear,4594,0.84691,false,1.6127838567197355,1.5440680443502757,2.3010299956639813,2.2380461031287955,0.8,3.66228551572213
ObjectId("5d34a67a6b361d34247c1e49"),32,4,5,11454,34811,2291,6962,0,Anger,Anger+Joy,27485,1.00329,false,3.3602146132953523,3.84279639517558,4.058995093525416,4.541728974850289,1,4.439111542159727
ObjectId("5d34a67a6b361d34247c1e4a"),34,1,5,123,856,25,171,1,Joy,Joy+Fear,23229,1.25513,false,1.414973347970818,2.2355284469075487,2.093421685162235,2.932980821923198,1.3,4.366049209800235
ObjectId("5d34a67a6b361d34247c1e4b"),35,4,6,37,193,6,32,0,Anger,Anger+Sadness,57688,1.03463,false,0.8450980400142568,1.5185139398778875,1.5797835966168101,2.287801729930226,1,4.761093010820753
ObjectId("5d34a67a6b361d34247c1e4c"),36,4,6,3382,7239,564,1206,0,Sadness,Sadness+Joy,578806,1.41355,true,2.7520484478194387,3.081707270097349,3.5293019977879805,3.859738566197147,1.4,5.762533774767301
ObjectId("5d34a67a6b361d34247c1e4d"),40,4,6,7076,10524,1179,1754,1,Joy,Joy+Surprise,125031,1.27649,false,3.0718820073061255,3.244277120801843,3.849849195605258,4.022222104507706,1.3,5.09702117816689
ObjectId("5d34a67a6b361d34247c1e4e"),41,3,6,150,531,25,88,0,Joy,Joy+Fear,15544,1.03829,false,1.414973347970818,1.9493900066449128,2.1789769472931693,2.7259116322950483,1,4.191590726379211
ObjectId("5d34a67a6b361d34247c1e4f"),42,4,6,144,194,24,32,0,Joy,Joy+Fear,45755,0.96577,true,1.3979400086720377,1.5185139398778875,2.161368002234975,2.290034611362518,1,4.660448051321295
ObjectId("5d34a67a6b361d34247c1e50"),44,7,6,2394,6216,399,1036,2,Fear,Fear+Joy,5403,0.84345,false,2.6020599913279625,3.015778756389041,3.379305517750582,3.793580867368156,0.8,3.732715340349993
