_id,hilo,posicion_hilo,id,emocion,puntaje_sigmoideo,total_rt,total_fav,total_hashtags,aporte_rt,aporte_fav,progreso_hilo,user_puntaje_sigmo,user_verificado,log_total_rt,log_total_fav,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a6786b361d34247c0e4b"),11,3,1144403681720373249,Joy,1.29349,920,3843,0,0.082,0.079,100,1.29349,true,2.964259630196849,3.584783378996508,1.3,6.151172733289267
ObjectId("5d34a6786b361d34247c0e4c"),11,2,1144403680982130695,Fear,1.29349,755,3487,0,0.067,0.072,67,1.29349,true,2.8785217955012063,3.5425764762605296,1.3,6.151172733289267
ObjectId("5d34a6786b361d34247c0e4d"),11,1,1144399764198440960,Anger,1.29349,1705,7705,0,0.151,0.158,34,1.29349,true,3.231979026831504,3.886829004676982,1.3,6.151172733289267
ObjectId("5d34a6786b361d34247c0e4e"),11,0,1144399401722531842,Joy,1.29349,7894,33692,0,0.7,0.691,1,1.29349,true,3.897352134344313,4.5275396819647975,1.3,6.151172733289267
ObjectId("5d34a6786b361d34247c0e4f"),22,4,1133680316705628161,Joy,0.87818,19,36,0,0.275,0.247,100,0.87818,false,1.3010299956639813,1.568201724066995,0.9,4.288696260590256
ObjectId("5d34a6786b361d34247c0e50"),22,3,1133680315334045696,Joy,0.87818,13,31,0,0.188,0.212,75,0.87818,false,1.146128035678238,1.505149978319906,0.9,4.288696260590256
ObjectId("5d34a6786b361d34247c0e51"),22,2,1133680314054774785,Joy,0.87818,0,7,1,0,0.048,50,0.87818,false,0,0.9030899869919435,0.9,4.288696260590256
ObjectId("5d34a6786b361d34247c0e52"),22,1,1133680312687497216,Joy,0.87818,0,7,0,0,0.048,26,0.87818,false,0,0.9030899869919435,0.9,4.288696260590256
ObjectId("5d34a6786b361d34247c0e53"),22,0,1133680310313529344,Joy,0.87818,36,64,0,0.522,0.438,1,0.87818,false,1.568201724066995,1.8129133566428555,0.9,4.288696260590256
ObjectId("5d34a6786b361d34247c0e54"),384,35,1118924362869104640,Sadness,1.14875,1702,8277,0,0.019,0.026,100,1.14875,true,3.231214647962601,3.9179254220647413,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e55"),384,34,1118924030084567042,Joy,1.14875,1598,6515,0,0.017,0.02,97,1.14875,true,3.2038484637462346,3.813981075636472,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e56"),384,33,1118923822642626560,Disgust,1.14875,2257,7838,0,0.025,0.024,94,1.14875,true,3.353723937588949,3.894260664446988,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e57"),384,32,1118923579083644929,Sadness,1.14875,1471,6225,0,0.016,0.019,92,1.14875,true,3.16790781000148,3.7942091163464964,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e58"),384,31,1118923398321778696,Joy,1.14875,2501,9131,0,0.027,0.028,89,1.14875,true,3.398287305357401,3.960565902818198,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e59"),384,30,1118923185221771268,Fear,1.14875,1866,7982,0,0.02,0.025,86,1.14875,true,3.2711443179490782,3.9021661292710514,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e5a"),384,29,1118922923430109184,Joy,1.14875,2457,9023,0,0.027,0.028,83,1.14875,true,3.390581878550435,3.955399086639267,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e5b"),384,28,1118922652134014976,Joy,1.14875,2200,8438,0,0.024,0.026,80,1.14875,true,3.342620042553348,3.9262909868848634,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e5c"),384,27,1118922376408961036,Sadness,1.14875,2596,11414,0,0.028,0.035,77,1.14875,true,3.4144719496293026,4.057475915826254,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e5d"),384,26,1118922170560806912,Surprise,1.14875,1322,6448,0,0.014,0.02,75,1.14875,true,3.1215598441875008,3.809492376937342,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e5e"),384,25,1118921957121110016,Joy,1.14875,1966,7745,0,0.021,0.024,72,1.14875,true,3.2938043599193367,3.8890774926500637,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e5f"),384,24,1118921728858763269,Joy,1.14875,3043,11153,0,0.033,0.034,69,1.14875,true,3.4834446480985353,4.047430640155542,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e60"),384,23,1118921473752752129,Joy,1.14875,2528,8803,0,0.028,0.027,66,1.14875,true,3.4029488293444046,3.94468003388131,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e61"),384,22,1118921291610959874,Fear,1.14875,2499,8487,0,0.027,0.026,63,1.14875,true,3.3979400086720375,3.928805370893284,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e62"),384,21,1118921136866242560,Fear,1.14875,3320,9046,0,0.036,0.028,60,1.14875,true,3.5212688755983854,3.9565045903166975,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e63"),384,20,1118920924701577221,Joy,1.14875,1684,6806,0,0.018,0.021,58,1.14875,true,3.2265999052073573,3.8329557506045986,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e64"),384,19,1118920727103778821,Fear,1.14875,1460,6175,0,0.016,0.019,55,1.14875,true,3.1646502159342966,3.7907072873276797,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e65"),384,18,1118920369853825025,Surprise,1.14875,1308,5792,0,0.014,0.018,52,1.14875,true,3.116939646550756,3.762903528499057,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e66"),384,17,1118920236261097477,Joy,1.14875,1573,6359,0,0.017,0.02,49,1.14875,true,3.1970047280230456,3.803457115648414,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e67"),384,16,1118919931658145797,Disgust,1.14875,1281,5628,0,0.014,0.017,46,1.14875,true,3.1078880251827985,3.750431248660202,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e68"),384,15,1118919774803759109,Joy,1.14875,1303,5810,0,0.014,0.018,43,1.14875,true,3.1152775913959014,3.764250875438773,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e69"),384,14,1118919591076466689,Joy,1.14875,1417,6340,0,0.015,0.02,41,1.14875,true,3.151676230847048,3.8021577531869615,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e6a"),384,13,1118919443587973121,Joy,1.14875,1108,5545,0,0.012,0.017,38,1.14875,true,3.04493154614916,3.743979865241843,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e6b"),384,12,1118919265275514881,Joy,1.14875,1528,6575,0,0.017,0.02,35,1.14875,true,3.1844074854123203,3.817961804531994,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e6c"),384,11,1118919060878766080,Joy,1.14875,1207,6139,0,0.013,0.019,32,1.14875,true,3.082066934285113,3.788168371141168,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e6d"),384,10,1118918877944188930,Joy,1.14875,2004,7967,0,0.022,0.025,29,1.14875,true,3.302114376956201,3.901349325415642,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e6e"),384,9,1118918676000931843,Fear,1.14875,2455,8986,0,0.027,0.028,26,1.14875,true,3.3902283624691303,3.9536147416906404,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e6f"),384,8,1118918527451312128,Joy,1.14875,1576,6735,0,0.017,0.021,24,1.14875,true,3.197831693328903,3.8284020784915933,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e70"),384,7,1118918291681107972,Disgust,1.14875,1613,6824,0,0.018,0.021,21,1.14875,true,3.2079035303860515,3.8341026557127935,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e71"),384,6,1118918046113042435,Joy,1.14875,2574,9913,0,0.028,0.031,18,1.14875,true,3.41077723337721,3.996248914569132,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e72"),384,5,1118917743678558208,Joy,1.14875,2476,8356,0,0.027,0.026,15,1.14875,true,3.3939260065858368,3.922050402167174,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e73"),384,4,1118917585825935363,Joy,1.14875,2770,9733,0,0.03,0.03,12,1.14875,true,3.442636525782232,3.9882913419074875,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e74"),384,3,1118917385128488965,Joy,1.14875,1825,7918,0,0.02,0.024,9,1.14875,true,3.2615007731982804,3.89867034296553,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e75"),384,2,1118917214512529409,Surprise,1.14875,1927,8485,0,0.021,0.026,7,1.14875,true,3.285107029566812,3.928703027430597,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e76"),384,1,1118917000598892544,Fear,1.14875,1772,8197,0,0.019,0.025,4,1.14875,true,3.2487087356009177,3.913707913980483,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e77"),384,0,1118916747887882242,Joy,1.14875,23531,53335,0,0.257,0.165,1,1.14875,true,4.371658839715409,4.7270204421175075,1.1,5.24418555048879
ObjectId("5d34a6786b361d34247c0e78"),236,15,1089241505070546944,Disgust,0.8396,134,430,0,0.066,0.071,100,0.8396,false,2.130333768495006,2.6344772701607315,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e79"),236,14,1089240903473119233,Fear,0.8396,61,264,0,0.03,0.044,93,0.8396,false,1.792391689498254,2.423245873936808,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e7a"),236,13,1089240490300579841,Joy,0.8396,40,180,0,0.02,0.03,87,0.8396,false,1.6127838567197355,2.2576785748691846,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e7b"),236,12,1089240041208139778,Joy,0.8396,97,307,0,0.048,0.051,80,0.8396,false,1.9912260756924949,2.4885507165004443,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e7c"),236,11,1089239515229810688,Fear,0.8396,92,346,0,0.045,0.057,74,0.8396,false,1.968482948553935,2.5403294747908736,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e7d"),236,10,1089239104229908480,Joy,0.8396,64,276,0,0.032,0.046,67,0.8396,false,1.8129133566428555,2.4424797690644486,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e7e"),236,9,1089238679946739713,Fear,0.8396,141,444,0,0.07,0.074,60,0.8396,false,2.1522883443830563,2.6483600109809315,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e7f"),236,8,1089238184633028610,Fear,0.8396,103,338,0,0.051,0.056,54,0.8396,false,2.0170333392987803,2.530199698203082,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e80"),236,7,1089237858601316352,Fear,0.8396,143,491,0,0.071,0.081,47,0.8396,false,2.1583624920952498,2.69196510276736,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e81"),236,6,1089237289581137920,Joy,0.8396,324,689,0,0.16,0.114,41,0.8396,false,2.5118833609788744,2.838849090737255,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e82"),236,5,1089236831714054145,Fear,0.8396,117,370,0,0.058,0.061,34,0.8396,false,2.0718820073061255,2.569373909615046,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e83"),236,4,1089236397511327745,Fear,0.8396,89,289,0,0.044,0.048,27,0.8396,false,1.954242509439325,2.462397997898956,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e84"),236,3,1089235848095256576,Joy,0.8396,71,256,0,0.035,0.042,21,0.8396,false,1.8573324964312685,2.4099331233312946,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e85"),236,2,1089235008940883968,Fear,0.8396,108,344,0,0.053,0.057,14,0.8396,false,2.037426497940624,2.537819095073274,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e86"),236,1,1089234452558110720,Joy,0.8396,108,359,0,0.053,0.06,8,0.8396,false,2.037426497940624,2.5563025007672873,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e87"),236,0,1089234000827334656,Fear,0.8396,331,641,0,0.164,0.106,1,0.8396,false,2.5211380837040362,2.807535028068853,0.8,4.093316601204331
ObjectId("5d34a6786b361d34247c0e88"),253,16,1096233752253161472,Surprise,1.06386,179,727,0,0.024,0.045,100,1.06386,false,2.255272505103306,2.862131379313037,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e89"),253,15,1096233098029748224,Surprise,1.06386,175,608,0,0.024,0.038,94,1.06386,false,2.24551266781415,2.784617292632875,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e8a"),253,14,1096232804524937217,Fear,1.06386,240,590,0,0.033,0.037,88,1.06386,false,2.3820170425748683,2.7715874808812555,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e8b"),253,13,1096228858121076736,Sadness,1.06386,335,878,0,0.046,0.054,81,1.06386,false,2.526339277389844,2.9439888750737717,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e8c"),253,12,1096228535121920000,Joy,1.06386,434,938,0,0.059,0.058,75,1.06386,false,2.6384892569546374,2.972665592266111,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e8d"),253,11,1096228165725360128,Fear,1.06386,230,578,0,0.031,0.036,69,1.06386,false,2.3636119798921444,2.762678563727436,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e8e"),253,10,1096227916906721281,Joy,1.06386,411,882,0,0.056,0.055,63,1.06386,false,2.6148972160331345,2.9459607035775686,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e8f"),253,9,1096227377028481024,Fear,1.06386,234,544,0,0.032,0.034,57,1.06386,false,2.3710678622717363,2.7363965022766426,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e90"),253,8,1096226756288266240,Surprise,1.06386,277,614,0,0.038,0.038,50,1.06386,false,2.444044795918076,2.788875115775417,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e91"),253,7,1096226178841694208,Anger,1.06386,253,596,0,0.035,0.037,44,1.06386,false,2.404833716619938,2.775974331129369,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e92"),253,6,1096225749277773824,Joy,1.06386,216,569,0,0.029,0.035,38,1.06386,false,2.3364597338485296,2.7558748556724915,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e93"),253,5,1096225311014965248,Fear,1.06386,266,611,0,0.036,0.038,32,1.06386,false,2.4265112613645754,2.7867514221455614,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e94"),253,4,1096224364196962304,Fear,1.06386,447,859,0,0.061,0.053,26,1.06386,false,2.651278013998144,2.934498451243568,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e95"),253,3,1096224041743106048,Joy,1.06386,235,619,0,0.032,0.038,20,1.06386,false,2.3729120029701067,2.792391689498254,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e96"),253,2,1096222805526564864,Joy,1.06386,496,878,0,0.068,0.054,13,1.06386,false,2.696356388733332,2.9439888750737717,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e97"),253,1,1096222050006589440,Surprise,1.06386,472,961,0,0.064,0.06,7,1.06386,false,2.6748611407378116,2.983175072037813,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e98"),253,0,1096220718168195072,Surprise,1.06386,2430,4688,0,0.331,0.29,1,1.06386,false,3.3857849588433355,3.6710802327388494,1.1,5.122514046067324
ObjectId("5d34a6786b361d34247c0e99"),8,3,1119331296470237185,Joy,1.82529,30566,106763,0,0.405,0.361,100,1.82529,true,4.485252816960325,5.02842483661589,1.8,6.4436471876458254
ObjectId("5d34a6786b361d34247c0e9a"),8,2,1119331295547596800,Joy,1.82529,10984,50697,0,0.146,0.171,67,1.82529,true,4.040800061256529,4.704990827063194,1.8,6.4436471876458254
ObjectId("5d34a6786b361d34247c0e9b"),8,1,1119331294486368264,Fear,1.82529,8310,38779,0,0.11,0.131,34,1.82529,true,3.9196532823103643,4.588607804742686,1.8,6.4436471876458254
ObjectId("5d34a6786b361d34247c0e9c"),8,0,1119331293467152384,Joy,1.82529,25598,99388,0,0.339,0.336,1,1.82529,true,4.408223000352301,4.997338320980265,1.8,6.4436471876458254
ObjectId("5d34a6786b361d34247c0e9d"),43,5,1078554754656088064,Surprise,0.88049,145,263,2,0.135,0.134,100,0.88049,false,2.164352855784437,2.4216039268698313,0.9,4.027920136405803
ObjectId("5d34a6786b361d34247c0e9e"),43,4,1078554753389318145,Fear,0.88049,47,103,1,0.044,0.052,80,0.88049,false,1.6812412373755872,2.0170333392987803,0.9,4.027920136405803
ObjectId("5d34a6786b361d34247c0e9f"),43,3,1078554751430610944,Joy,0.88049,107,216,1,0.1,0.11,60,0.88049,false,2.03342375548695,2.3364597338485296,0.9,4.027920136405803
ObjectId("5d34a6786b361d34247c0ea0"),43,2,1078554749706727424,Surprise,0.88049,140,257,1,0.131,0.131,41,0.88049,false,2.1492191126553797,2.41161970596323,0.9,4.027920136405803
ObjectId("5d34a6786b361d34247c0ea1"),43,1,1078554748024872961,Fear,0.88049,116,209,1,0.108,0.106,21,0.88049,false,2.0681858617461617,2.322219294733919,0.9,4.027920136405803
ObjectId("5d34a6786b361d34247c0ea2"),43,0,1078554746741391360,Fear,0.88049,515,914,1,0.481,0.466,1,0.88049,false,2.7126497016272113,2.9614210940664485,0.9,4.027920136405803
ObjectId("5d34a6786b361d34247c0ea3"),2,2,1143605500745064448,Fear,1.26804,7,17,0,0.226,0.34,100,1.26804,false,0.9030899869919435,1.255272505103306,1.3,4.550766300232815
ObjectId("5d34a6786b361d34247c0ea4"),2,1,1143605262940549121,Joy,1.26804,5,13,0,0.161,0.26,50,1.26804,false,0.7781512503836436,1.146128035678238,1.3,4.550766300232815
ObjectId("5d34a6786b361d34247c0ea5"),2,0,1143604910212206593,Disgust,1.26804,18,19,0,0.581,0.38,1,1.26804,false,1.2787536009528289,1.3010299956639813,1.3,4.550766300232815
ObjectId("5d34a6786b361d34247c0ea6"),243,15,1143984072957370368,Joy,1.10977,1055,3850,0,0.132,0.143,100,1.10977,true,3.0236639181977933,3.585573518622731,1.1,4.410810963677557
ObjectId("5d34a6786b361d34247c0ea7"),243,14,1143983975817310208,Surprise,1.10977,191,886,0,0.024,0.033,93,1.10977,true,2.2833012287035497,2.9479236198317262,1.1,4.410810963677557
ObjectId("5d34a6786b361d34247c0ea8"),243,13,1143983866773774336,Joy,1.10977,216,941,0,0.027,0.035,87,1.10977,true,2.3364597338485296,2.9740509027928774,1.1,4.410810963677557
ObjectId("5d34a6786b361d34247c0ea9"),243,12,1143983792001966080,Fear,1.10977,359,1227,0,0.045,0.045,80,1.10977,true,2.5563025007672873,3.089198366805149,1.1,4.410810963677557
ObjectId("5d34a6786b361d34247c0eaa"),243,11,1143983660602810368,Fear,1.10977,374,1414,0,0.047,0.052,74,1.10977,true,2.574031267727719,3.150756439860309,1.1,4.410810963677557
ObjectId("5d34a6786b361d34247c0eab"),243,10,1143983593837907969,Disgust,1.10977,320,1261,0,0.04,0.047,67,1.10977,true,2.506505032404872,3.1010593549081156,1.1,4.410810963677557
ObjectId("5d34a6786b361d34247c0eac"),243,9,1143983535704793088,Fear,1.10977,248,1137,0,0.031,0.042,60,1.10977,true,2.3961993470957363,3.056142262059052,1.1,4.410810963677557
