_id,hilo,posicion_hilo,id,emocion,puntaje_sigmoideo,total_rt,total_fav,total_hashtags,aporte_rt,aporte_fav,progreso_hilo,user_puntaje_sigmo,user_verificado,log_total_rt,log_total_fav,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a67a6b361d34247c1eb7"),4,2,1072248011076571141,Joy,1.17499,740,2048,0,0.118,0.136,100,1.17499,true,2.869818207979328,3.311541958401195,1.2,5.420236380469888
ObjectId("5d34a67a6b361d34247c1eb8"),4,1,1072244797753212931,Joy,1.17499,1027,2773,0,0.164,0.185,50,1.17499,true,3.011993114659257,3.443106456737266,1.2,5.420236380469888
ObjectId("5d34a67a6b361d34247c1eb9"),4,0,1072244175544963073,Surprise,1.17499,4500,10186,0,0.718,0.679,1,1.17499,true,3.653309012938479,4.0080463061583504,1.2,5.420236380469888
ObjectId("5d34a67a6b361d34247c1eba"),5,3,1067127731232616456,Fear,1.01279,3,6,1,0.058,0.12,100,1.01279,false,0.6020599913279624,0.8450980400142568,1,3.816837630902035
ObjectId("5d34a67a6b361d34247c1ebb"),5,2,1067127727193579521,Surprise,1.01279,12,11,1,0.231,0.22,67,1.01279,false,1.1139433523068367,1.0791812460476249,1,3.816837630902035
ObjectId("5d34a67a6b361d34247c1ebc"),5,1,1067127725624836096,Joy,1.01279,13,11,0,0.25,0.22,34,1.01279,false,1.146128035678238,1.0791812460476249,1,3.816837630902035
ObjectId("5d34a67a6b361d34247c1ebd"),5,0,1067125967796211712,Joy,1.01279,23,21,1,0.442,0.42,1,1.01279,false,1.380211241711606,1.3424226808222062,1,3.816837630902035
ObjectId("5d34a67a6b361d34247c1ebe"),6,3,947845222310076416,Fear,1.33755,1257,1788,0,0.104,0.084,100,1.33755,true,3.09968064110925,3.252610340567373,1.3,4.870667211584855
ObjectId("5d34a67a6b361d34247c1ebf"),6,2,947842597166501888,Fear,1.33755,969,1438,1,0.08,0.068,67,1.33755,true,2.9867717342662448,3.158060793936605,1.3,4.870667211584855
ObjectId("5d34a67a6b361d34247c1ec0"),6,1,947837953665093633,Fear,1.33755,1801,2712,1,0.149,0.127,34,1.33755,true,3.255754786643044,3.433449793761596,1.3,4.870667211584855
ObjectId("5d34a67a6b361d34247c1ec1"),6,0,947810659571466240,Disgust,1.33755,8041,15354,1,0.666,0.721,1,1.33755,true,3.9053640687668922,4.1862498207790875,1.3,4.870667211584855
ObjectId("5d34a67a6b361d34247c1ec2"),10,3,1095650233118326784,Joy,1.81404,413,432,0,0.277,0.276,100,1.81404,true,2.617000341120899,2.6364878963533656,1.8,4.758669709493661
ObjectId("5d34a67a6b361d34247c1ec3"),10,2,1095650232078082053,Joy,1.81404,334,355,2,0.224,0.227,67,1.81404,true,2.525044807036845,2.5514499979728753,1.8,4.758669709493661
ObjectId("5d34a67a6b361d34247c1ec4"),10,1,1095649651506794501,Fear,1.81404,382,400,2,0.256,0.256,34,1.81404,true,2.583198773968623,2.603144372620182,1.8,4.758669709493661
ObjectId("5d34a67a6b361d34247c1ec5"),10,0,1095649650395144193,Surprise,1.81404,360,375,2,0.242,0.24,1,1.81404,true,2.5575072019056577,2.575187844927661,1.8,4.758669709493661
ObjectId("5d34a67a6b361d34247c1ec6"),21,4,1124446053913309184,Joy,1.04728,410,464,0,0.063,0.054,100,1.04728,false,2.6138418218760693,2.667452952889954,1,4.17805561153123
ObjectId("5d34a67a6b361d34247c1ec7"),21,3,1124439026021355522,Sadness,1.04728,364,491,0,0.056,0.057,75,1.04728,false,2.5622928644564746,2.69196510276736,1,4.17805561153123
ObjectId("5d34a67a6b361d34247c1ec8"),21,2,1124438279921836033,Joy,1.04728,366,478,0,0.056,0.056,50,1.04728,false,2.5646660642520893,2.680335513414563,1,4.17805561153123
ObjectId("5d34a67a6b361d34247c1ec9"),21,1,1124436737902641154,Joy,1.04728,506,618,0,0.078,0.072,26,1.04728,false,2.705007959333336,2.791690649020118,1,4.17805561153123
ObjectId("5d34a67a6b361d34247c1eca"),21,0,1124435158101315593,Joy,1.04728,4854,6541,0,0.747,0.761,1,1.04728,false,3.6861892342440234,3.815710539788963,1,4.17805561153123
ObjectId("5d34a67a6b361d34247c1ecb"),23,4,1092447335043350528,Fear,0.81818,46,31,0,0.143,0.089,100,0.81818,false,1.6720978579357175,1.505149978319906,0.8,4.6472753613043984
ObjectId("5d34a67a6b361d34247c1ecc"),23,3,1092447333265027072,Joy,0.81818,23,27,0,0.071,0.077,75,0.81818,false,1.380211241711606,1.4471580313422192,0.8,4.6472753613043984
ObjectId("5d34a67a6b361d34247c1ecd"),23,2,1092447331348140035,Fear,0.81818,31,33,2,0.096,0.095,50,0.81818,false,1.505149978319906,1.5314789170422551,0.8,4.6472753613043984
ObjectId("5d34a67a6b361d34247c1ece"),23,1,1092447329607606273,Fear,0.81818,28,41,1,0.087,0.117,26,0.81818,false,1.462397997898956,1.6232492903979006,0.8,4.6472753613043984
ObjectId("5d34a67a6b361d34247c1ecf"),23,0,1092447306853408768,Joy,0.81818,193,216,1,0.599,0.619,1,0.81818,false,2.287801729930226,2.3364597338485296,0.8,4.6472753613043984
ObjectId("5d34a67a6b361d34247c1ed0"),24,4,1071667424771145730,Joy,0.82973,1970,15407,0,0.043,0.131,100,0.82973,false,3.2946866242794433,4.187746269780459,0.8,3.2821687783046416
ObjectId("5d34a67a6b361d34247c1ed1"),24,3,1071665306949640192,Surprise,0.82973,1671,8036,0,0.037,0.068,75,0.82973,false,3.2232362731029975,3.905093968327871,0.8,3.2821687783046416
ObjectId("5d34a67a6b361d34247c1ed2"),24,2,1071663333936427008,Sadness,0.82973,2199,9718,0,0.048,0.082,50,0.82973,false,3.342422680822206,3.9876215821254837,0.8,3.2821687783046416
ObjectId("5d34a67a6b361d34247c1ed3"),24,1,1071662092963495936,Joy,0.82973,3760,12604,0,0.083,0.107,26,0.82973,false,3.575303333422399,4.100542850012465,0.8,3.2821687783046416
ObjectId("5d34a67a6b361d34247c1ed4"),24,0,1071661165019885568,Surprise,0.82973,35968,72123,0,0.789,0.612,1,0.82973,false,4.55592836385357,4.858079804708084,0.8,3.2821687783046416
ObjectId("5d34a67a6b361d34247c1ed5"),27,4,1117126604784693248,Joy,0.84691,27,28,0,0.135,0.162,100,0.84691,false,1.4471580313422192,1.462397997898956,0.8,3.66228551572213
ObjectId("5d34a67a6b361d34247c1ed6"),27,3,1117126081838845952,Sadness,0.84691,16,16,0,0.08,0.092,75,0.84691,false,1.2304489213782739,1.2304489213782739,0.8,3.66228551572213
